c1_id,c1_code,c1_name,c1_domain,c1_class,c2_id,c2_code,c2_name,c2_domain,c2_class
35804420,10936,Methotrexate and Rituximab,Regimen,Regimen,42542149,576,CNS lymphoma,Condition,Condition
35804421,10943,MPV,Regimen,Regimen,42542149,576,CNS lymphoma,Condition,Condition
35804422,10962,MT-R,Regimen,Regimen,42542149,576,CNS lymphoma,Condition,Condition
35804423,10975,MVBP,Regimen,Regimen,42542149,576,CNS lymphoma,Condition,Condition
35804424,10976,"Nordic Regimen, older patients",Regimen,Regimen,42542149,576,CNS lymphoma,Condition,Condition
35804425,10983,"Nordic Regimen, younger patients",Regimen,Regimen,42542149,576,CNS lymphoma,Condition,Condition
35804426,10984,R-MCP,Regimen,Regimen,42542169,599,Follicular lymphoma,Condition,Condition
35804427,10991,R-MP,Regimen,Regimen,42542149,576,CNS lymphoma,Condition,Condition
35804428,10993,Procarbazine monotherapy,Regimen,Regimen,42542149,576,CNS lymphoma,Condition,Condition
35804428,10993,Procarbazine monotherapy,Regimen,Regimen,42542174,604,Glioblastoma,Condition,Condition
35804429,10999,R-MPV,Regimen,Regimen,42542149,576,CNS lymphoma,Condition,Condition
35804431,11013,Ifosfamide and Methotrexate,Regimen,Regimen,42542149,576,CNS lymphoma,Condition,Condition
35804432,11051,Temsirolimus monotherapy,Regimen,Regimen,42542149,576,CNS lymphoma,Condition,Condition
35804432,11051,Temsirolimus monotherapy,Regimen,Regimen,42542162,589,Diffuse large B-cell lymphoma,Condition,Condition
35804432,11051,Temsirolimus monotherapy,Regimen,Regimen,42542163,593,Endometrial cancer,Condition,Condition
35804432,11051,Temsirolimus monotherapy,Regimen,Regimen,42542169,599,Follicular lymphoma,Condition,Condition
35804432,11051,Temsirolimus monotherapy,Regimen,Regimen,42542195,625,Mantle cell lymphoma,Condition,Condition
35804432,11051,Temsirolimus monotherapy,Regimen,Regimen,42542229,660,Renal cell carcinoma,Condition,Condition
35804432,11051,Temsirolimus monotherapy,Regimen,Regimen,42542322,46094,Indolent lymphoma,Condition,Condition
35804433,11058,Topotecan monotherapy,Regimen,Regimen,905720,60907,Low-grade serous ovarian cancer,Condition,Condition
35804433,11058,Topotecan monotherapy,Regimen,Regimen,42542149,576,CNS lymphoma,Condition,Condition
35804433,11058,Topotecan monotherapy,Regimen,Regimen,42542152,579,Cervical cancer,Condition,Condition
35804433,11058,Topotecan monotherapy,Regimen,Regimen,42542163,593,Endometrial cancer,Condition,Condition
35804433,11058,Topotecan monotherapy,Regimen,Regimen,42542214,645,Ovarian cancer,Condition,Condition
35804433,11058,Topotecan monotherapy,Regimen,Regimen,42542234,666,Small cell lung cancer,Condition,Condition
35804433,11058,Topotecan monotherapy,Regimen,Regimen,42542421,53793,HRD Ovarian cancer,Condition,Condition
35804434,11071,Dabrafenib monotherapy,Regimen,Regimen,42542150,577,CNS melanoma,Condition,Condition
35804434,11071,Dabrafenib monotherapy,Regimen,Regimen,42542199,629,Melanoma,Condition,Condition
35804434,11071,Dabrafenib monotherapy,Regimen,Regimen,42542283,25811,BRAF Melanoma,Condition,Condition
35804435,11084,Ipilimumab and Nivolumab,Regimen,Regimen,905580,1235,Esophageal squamous cell carcinoma,Condition,Condition
35804435,11084,Ipilimumab and Nivolumab,Regimen,Regimen,905773,63797,MSI-H Colorectal cancer,Condition,Condition
35804435,11084,Ipilimumab and Nivolumab,Regimen,Regimen,912088,25309,Non-small cell lung cancer nonsquamous,Condition,Condition
35804435,11084,Ipilimumab and Nivolumab,Regimen,Regimen,912089,25316,Non-small cell lung cancer squamous,Condition,Condition
35804435,11084,Ipilimumab and Nivolumab,Regimen,Regimen,1525079,60013,Clear cell renal cell carcinoma,Condition,Condition
35804435,11084,Ipilimumab and Nivolumab,Regimen,Regimen,1525153,68879,Malignant pleural mesothelioma,Condition,Condition
35804435,11084,Ipilimumab and Nivolumab,Regimen,Regimen,42542150,577,CNS melanoma,Condition,Condition
35804435,11084,Ipilimumab and Nivolumab,Regimen,Regimen,42542182,612,Hepatocellular carcinoma,Condition,Condition
35804435,11084,Ipilimumab and Nivolumab,Regimen,Regimen,42542199,629,Melanoma,Condition,Condition
35804435,11084,Ipilimumab and Nivolumab,Regimen,Regimen,42542211,642,Non-small cell lung cancer,Condition,Condition
35804435,11084,Ipilimumab and Nivolumab,Regimen,Regimen,42542234,666,Small cell lung cancer,Condition,Condition
35804435,11084,Ipilimumab and Nivolumab,Regimen,Regimen,42542245,677,Uveal melanoma,Condition,Condition
35804435,11084,Ipilimumab and Nivolumab,Regimen,Regimen,42542283,25811,BRAF Melanoma,Condition,Condition
35804435,11084,Ipilimumab and Nivolumab,Regimen,Regimen,42542324,46096,Colorectal cancer,Condition,Condition
35804520,11189,Bortezomib monotherapy,Regimen,Regimen,912027,13940,MALT lymphoma,Condition,Condition
35804520,11189,Bortezomib monotherapy,Regimen,Regimen,42542151,578,Castleman disease,Condition,Condition
35804520,11189,Bortezomib monotherapy,Regimen,Regimen,42542169,599,Follicular lymphoma,Condition,Condition
35804520,11189,Bortezomib monotherapy,Regimen,Regimen,42542192,622,Light-chain (AL) amyloidosis,Condition,Condition
35804520,11189,Bortezomib monotherapy,Regimen,Regimen,42542195,625,Mantle cell lymphoma,Condition,Condition
35804520,11189,Bortezomib monotherapy,Regimen,Regimen,42542203,633,Multiple myeloma,Condition,Condition
35804520,11189,Bortezomib monotherapy,Regimen,Regimen,42542250,682,Waldenstroem macroglobulinemia,Condition,Condition
35804520,11189,Bortezomib monotherapy,Regimen,Regimen,42542322,46094,Indolent lymphoma,Condition,Condition
35804521,11204,Siltuximab monotherapy,Regimen,Regimen,42542151,578,Castleman disease,Condition,Condition
35804522,11218,TCP,Regimen,Regimen,42542151,578,Castleman disease,Condition,Condition
35804523,11225,Tocilizumab monotherapy,Regimen,Regimen,42542151,578,Castleman disease,Condition,Condition
35804527,11235,Cisplatin and Paclitaxel (TP),Regimen,Regimen,905580,1235,Esophageal squamous cell carcinoma,Condition,Condition
35804527,11235,Cisplatin and Paclitaxel (TP),Regimen,Regimen,905610,16419,Esophageal adenocarcinoma,Condition,Condition
35804527,11235,Cisplatin and Paclitaxel (TP),Regimen,Regimen,42542152,579,Cervical cancer,Condition,Condition
35804527,11235,Cisplatin and Paclitaxel (TP),Regimen,Regimen,42542160,587,Cutaneous basal cell carcinoma,Condition,Condition
35804527,11235,Cisplatin and Paclitaxel (TP),Regimen,Regimen,42542163,593,Endometrial cancer,Condition,Condition
35804527,11235,Cisplatin and Paclitaxel (TP),Regimen,Regimen,42542165,595,Esophageal cancer,Condition,Condition
35804527,11235,Cisplatin and Paclitaxel (TP),Regimen,Regimen,42542178,608,Head and neck cancer,Condition,Condition
35804527,11235,Cisplatin and Paclitaxel (TP),Regimen,Regimen,42542211,642,Non-small cell lung cancer,Condition,Condition
35804527,11235,Cisplatin and Paclitaxel (TP),Regimen,Regimen,42542214,645,Ovarian cancer,Condition,Condition
35804530,11264,Carboplatin and RT,Regimen,Regimen,42542152,579,Cervical cancer,Condition,Condition
35804530,11264,Carboplatin and RT,Regimen,Regimen,42542178,608,Head and neck cancer,Condition,Condition
35804530,11264,Carboplatin and RT,Regimen,Regimen,42542208,639,Nasopharyngeal carcinoma,Condition,Condition
35804530,11264,Carboplatin and RT,Regimen,Regimen,42542211,642,Non-small cell lung cancer,Condition,Condition
