c1_id,c1_code,c1_name,c1_domain,c1_class,c2_id,c2_code,c2_name,c2_domain,c2_class
35804588,12112,G-FC,Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
35804589,12113,HDMP-R,Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
35804590,12120,Idelalisib and Rituximab,Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
35804591,12127,Lenalidomide and Rituximab (R2),Regimen,Regimen,912027,13940,MALT lymphoma,Condition,Condition
35804591,12127,Lenalidomide and Rituximab (R2),Regimen,Regimen,42542154,581,Chronic lymphocytic leukemia,Condition,Condition
35804591,12127,Lenalidomide and Rituximab (R2),Regimen,Regimen,42542162,589,Diffuse large B-cell lymphoma,Condition,Condition
35804591,12127,Lenalidomide and Rituximab (R2),Regimen,Regimen,42542169,599,Follicular lymphoma,Condition,Condition
35804591,12127,Lenalidomide and Rituximab (R2),Regimen,Regimen,42542195,625,Mantle cell lymphoma,Condition,Condition
35804591,12127,Lenalidomide and Rituximab (R2),Regimen,Regimen,42542196,626,Marginal zone lymphoma,Condition,Condition
35804591,12127,Lenalidomide and Rituximab (R2),Regimen,Regimen,42542244,676,Transformed lymphoma,Condition,Condition
